management.M1 soil_type.CL soil_type.SL precipitation relative_irrigation number_of_trips_reduction relative_profit_percentage
1 1 0 2 1 0 0.41312
1 1 0 2 0.75 0 0.317458824
1 1 0 2 0.5 0 0.1808
1 1 0 2 1 1 0.288711111
1 1 0 2 0.75 1 0.288711111
1 1 0 2 0.5 1 0.193498413
1 1 0 2 1 2 0.081362963
1 1 0 2 0.75 2 0.081362963
1 1 0 2 0.5 2 0.081362963
0 0 0 0 1 0 0.245582222
0 0 0 0 0.75 0 0.164402614
0 0 0 0 0.5 0 0.048431746
0 0 0 0 1 1 0.192953535
0 0 0 0 0.75 1 0.174860131
0 0 0 0 0.5 1 0.061130159
0 0 0 0 1 2 0.123705263
0 0 0 0 0.75 2 0.123705263
0 0 0 0 0.5 2 0.073828571
0 0 0 1 1 0 0.245582222
0 0 0 1 0.75 0 0.164402614
0 0 0 1 0.5 0 0.048431746
0 0 0 1 1 1 0.192953535
0 0 0 1 0.75 1 0.174860131
0 0 0 1 0.5 1 0.061130159
0 0 0 1 1 2 0.123705263
0 0 0 1 0.75 2 0.123705263
0 0 0 1 0.5 2 0.073828571
0 0 0 2 1 0 0.334016
0 0 0 2 0.75 0 0.247661176
0 0 0 2 0.5 0 0.124297143
0 0 0 2 1 1 0.222791111
0 0 0 2 0.75 1 0.222791111
0 0 0 2 0.5 1 0.136995556
0 0 0 2 1 2 0.037416296
0 0 0 2 0.75 2 0.037416296
0 0 0 2 0.5 2 0.037416296
0 0 0 0 1 0 0.201365333
0 0 0 0 0.75 0 0.122773333
0 0 0 0 0.5 0 0.010499048
0 0 0 0 1 1 0.161758025
0 0 0 0 0.75 1 0.13323085
0 0 0 0 0.5 1 0.02319746
0 0 0 0 1 2 0.112248889
0 0 0 0 0.75 2 0.112248889
0 0 0 0 0.5 2 0.035895873
0 0 0 1 1 0 0.201365333
0 0 0 1 0.75 0 0.122773333
0 0 0 1 0.5 0 0.010499048
0 0 0 1 1 1 0.161758025
0 0 0 1 0.75 1 0.13323085
0 0 0 1 0.5 1 0.02319746
0 0 0 1 1 2 0.112248889
0 0 0 1 0.75 2 0.112248889
0 0 0 1 0.5 2 0.035895873
0 0 0 2 1 0 0.289799111
0 0 0 2 0.75 0 0.206031895
0 0 0 2 0.5 0 0.086364444
0 0 0 2 1 1 0.216489412
0 0 0 2 0.75 1 0.216489412
0 0 0 2 0.5 1 0.099062857
0 0 0 2 1 2 0.11176127
0 0 0 2 0.75 2 0.11176127
0 0 0 2 0.5 2 0.11176127
0 0 0 0 1 0 0.322382222
0 0 0 0 0.75 0 0.23216732
